Categoria: Tutte le categorie

Giorno,Bitcoin: (Stati Uniti)
2020-01-01,20
2020-01-02,23
2020-01-03,25
2020-01-04,24
2020-01-05,22
2020-01-06,23
2020-01-07,30
2020-01-08,36
2020-01-09,23
2020-01-10,25
2020-01-11,24
2020-01-12,21
2020-01-13,20
2020-01-14,35
2020-01-15,35
2020-01-16,25
2020-01-17,26
2020-01-18,27
2020-01-19,27
2020-01-20,24
2020-01-21,23
2020-01-22,22
2020-01-23,23
2020-01-24,21
2020-01-25,23
2020-01-26,19
2020-01-27,23
2020-01-28,27
2020-01-29,30
2020-01-30,28
2020-01-31,27
2020-02-01,26
2020-02-02,25
2020-02-03,24
2020-02-04,27
2020-02-05,30
2020-02-06,31
2020-02-07,27
2020-02-08,26
2020-02-09,39
2020-02-10,31
2020-02-11,34
2020-02-12,37
2020-02-13,33
2020-02-14,28
2020-02-15,28
2020-02-16,29
2020-02-17,28
2020-02-18,29
2020-02-19,32
2020-02-20,31
2020-02-21,26
2020-02-22,24
2020-02-23,26
2020-02-24,30
2020-02-25,29
2020-02-26,33
2020-02-27,34
2020-02-28,35
2020-02-29,26
2020-03-01,24
2020-03-02,24
2020-03-03,24
2020-03-04,24
2020-03-05,23
2020-03-06,24
2020-03-07,22
2020-03-08,25
2020-03-09,49
2020-03-10,34
2020-03-11,28
2020-03-12,66
2020-03-13,100
2020-03-14,56
2020-03-15,43
2020-03-16,63
2020-03-17,49
2020-03-18,50
2020-03-19,51
2020-03-20,46
2020-03-21,39
2020-03-22,37
2020-03-23,38
2020-03-24,44
2020-03-25,37
2020-03-26,34
2020-03-27,31
2020-03-28,29
2020-03-29,26
2020-03-30,31
2020-03-31,25
2020-04-01,28
2020-04-02,33
2020-04-03,30
2020-04-04,28
2020-04-05,27
2020-04-06,34
2020-04-07,33
2020-04-08,30
2020-04-09,29
2020-04-10,33
2020-04-11,26
2020-04-12,29
2020-04-13,32
2020-04-14,28
2020-04-15,30
2020-04-16,32
2020-04-17,27
2020-04-18,26
2020-04-19,26
2020-04-20,27
2020-04-21,28
2020-04-22,27
2020-04-23,33
2020-04-24,18
2020-04-25,26
2020-04-26,31
2020-04-27,34
2020-04-28,34
2020-04-29,49
2020-04-30,56
2020-05-01,42
2020-05-02,40
2020-05-03,39
2020-05-04,38
2020-05-05,36
2020-05-06,42
2020-05-07,53
2020-05-08,62
2020-05-09,51
2020-05-10,72
2020-05-11,84
2020-05-12,60
2020-05-13,45
2020-05-14,46
2020-05-15,41
2020-05-16,37
2020-05-17,38
2020-05-18,39
2020-05-19,35
2020-05-20,37
2020-05-21,39
2020-05-22,34
2020-05-23,30
2020-05-24,29
2020-05-25,33
2020-05-26,31
2020-05-27,30
2020-05-28,33
2020-05-29,31
2020-05-30,25
2020-05-31,26
2020-06-01,29
2020-06-02,45
2020-06-03,33
2020-06-04,32
2020-06-05,32
2020-06-06,27
2020-06-07,27
2020-06-08,27
2020-06-09,29
2020-06-10,28
2020-06-11,33
2020-06-12,29
2020-06-13,24
2020-06-14,24
2020-06-15,28
2020-06-16,25
2020-06-17,26
2020-06-18,25
2020-06-19,24
2020-06-20,25
2020-06-21,22
2020-06-22,24
2020-06-23,27
2020-06-24,23
2020-06-25,24
2020-06-26,24
2020-06-27,23
2020-06-28,24
2020-06-29,24
2020-06-30,24
