timestamp,bit_trend
2017-12-21,46
2017-12-22,96
2017-12-23,56
2017-12-24,40
2017-12-25,34
2017-12-26,36
2017-12-27,34
2017-12-28,34
2017-12-29,30
2017-12-30,29
2017-12-31,24
2018-01-01,40
2018-01-02,52
2018-01-03,53
2018-01-04,51
2018-01-05,50
2018-01-06,48
2018-01-07,43
2018-01-08,50
2018-01-09,44
2018-01-10,46
2018-01-11,56
2018-01-12,41
2018-01-13,38
2018-01-14,36
2018-01-15,34
2018-01-16,75
2018-01-17,100
2018-01-18,67
2018-01-19,47
2018-01-20,40
2018-01-21,36
2018-01-22,41
2018-01-23,43
2018-01-24,39
2018-01-25,39
2018-01-26,37
2018-01-27,30
2018-01-28,28
2018-01-29,28
2018-01-30,35
2018-01-31,36
2018-02-01,45
2018-02-02,65
2018-02-03,42
2018-02-04,34
2018-02-05,63
2018-02-06,78
2018-02-07,49
2018-02-08,41
2018-02-09,35
2018-02-10,28
2018-02-11,25
2018-02-12,28
2018-02-13,25
2018-02-14,25
2018-02-15,27
2018-02-16,25
2018-02-17,22
2018-02-18,25
2018-02-19,22
2018-02-20,27
2018-02-21,26
2018-02-22,23
2018-02-23,21
2018-02-24,18
2018-02-25,18
2018-02-26,19
2018-02-27,19
2018-02-28,19
2018-03-01,18
2018-03-02,17
2018-03-03,17
2018-03-04,15
2018-03-05,16
2018-03-06,18
2018-03-07,21
2018-03-08,20
2018-03-09,24
2018-03-10,16
2018-03-11,16
2018-03-12,19
2018-03-13,17
2018-03-14,19
2018-03-15,24
2018-03-16,19
2018-03-17,17
2018-03-18,21
2018-03-19,20
2018-03-20,17
2018-03-21,17
2018-03-22,18
2018-03-23,15
2018-03-24,12
2018-03-25,12
2018-03-26,17
2018-03-27,17
2018-03-28,16
2018-03-29,19
2018-03-30,22
2018-03-31,15
2018-04-01,16
2018-04-02,19
2018-04-03,18
2018-04-04,16
2018-04-05,16
2018-04-06,16
2018-04-07,13
2018-04-08,12
2018-04-09,16
2018-04-10,15
2018-04-11,14
2018-04-12,18
2018-04-13,17
2018-04-14,12
2018-04-15,12
2018-04-16,14
2018-04-17,14
2018-04-18,15
2018-04-19,14
2018-04-20,15
2018-04-21,13
2018-04-22,12
2018-04-23,14
2018-04-24,18
2018-04-25,17
2018-04-26,13
2018-04-27,13
2018-04-28,10
2018-04-29,10
2018-04-30,12
2018-05-01,12
2018-05-02,11
2018-05-03,12
2018-05-04,12
2018-05-05,11
2018-05-06,10
2018-05-07,12
2018-05-08,12
2018-05-09,12
2018-05-10,11
2018-05-11,14
2018-05-12,10
2018-05-13,10
2018-05-14,12
2018-05-15,11
2018-05-16,11
2018-05-17,11
2018-05-18,11
2018-05-19,8
2018-05-20,8
2018-05-21,9
2018-05-22,10
2018-05-23,13
2018-05-24,13
2018-05-25,10
2018-05-26,9
2018-05-27,9
2018-05-28,11
2018-05-29,11
2018-05-30,10
2018-05-31,9
2018-06-01,8
2018-06-02,8
2018-06-03,8
2018-06-04,9
2018-06-05,9
2018-06-06,10
2018-06-07,8
2018-06-08,9
2018-06-09,8
2018-06-10,11
2018-06-11,18
2018-06-12,13
2018-06-13,14
2018-06-14,14
2018-06-15,10
2018-06-16,8
2018-06-17,8
2018-06-18,10
2018-06-19,10
2018-06-20,10
2018-06-21,8
2018-06-22,13
2018-06-23,11
2018-06-24,12
2018-06-25,11
2018-06-26,10
2018-06-27,10
2018-06-28,10
2018-06-29,14
2018-06-30,12
2018-07-01,45
2018-07-02,59
2018-07-03,48
2018-07-04,42
2018-07-05,45
2018-07-06,43
2018-07-07,40
2018-07-08,42
2018-07-09,41
2018-07-10,47
2018-07-11,42
2018-07-12,49
2018-07-13,45
2018-07-14,40
2018-07-15,37
2018-07-16,43
2018-07-17,67
2018-07-18,70
2018-07-19,56
2018-07-20,54
2018-07-21,43
2018-07-22,42
2018-07-23,53
2018-07-24,73
2018-07-25,70
2018-07-26,65
2018-07-27,62
2018-07-28,44
2018-07-29,45
2018-07-30,52
2018-07-31,55
2018-08-01,52
2018-08-02,46
2018-08-03,49
2018-08-04,52
2018-08-05,45
2018-08-06,51
2018-08-07,54
2018-08-08,76
2018-08-09,57
2018-08-10,50
2018-08-11,53
2018-08-12,44
2018-08-13,49
2018-08-14,75
2018-08-15,63
2018-08-16,47
2018-08-17,48
2018-08-18,42
2018-08-19,36
2018-08-20,43
2018-08-21,46
2018-08-22,54
2018-08-23,46
2018-08-24,43
2018-08-25,39
2018-08-26,37
2018-08-27,43
2018-08-28,53
2018-08-29,46
2018-08-30,41
2018-08-31,38
2018-09-01,37
2018-09-02,38
2018-09-03,39
2018-09-04,40
2018-09-05,58
2018-09-06,69
2018-09-07,50
2018-09-08,42
2018-09-09,37
2018-09-10,45
2018-09-11,45
2018-09-12,52
2018-09-13,46
2018-09-14,35
2018-09-15,34
2018-09-16,33
2018-09-17,37
2018-09-18,34
2018-09-19,39
2018-09-20,36
2018-09-21,39
2018-09-22,39
2018-09-23,39
2018-09-24,41
2018-09-25,39
2018-09-26,35
2018-09-27,36
2018-09-28,36
2018-09-29,33
2018-09-30,31
2018-10-01,33
2018-10-02,35
2018-10-03,31
2018-10-04,31
2018-10-05,31
2018-10-06,29
2018-10-07,27
2018-10-08,32
2018-10-09,34
2018-10-10,33
2018-10-11,51
2018-10-12,39
2018-10-13,32
2018-10-14,30
2018-10-15,36
2018-10-16,36
2018-10-17,31
2018-10-18,35
2018-10-19,32
2018-10-20,29
2018-10-21,28
2018-10-22,33
2018-10-23,33
2018-10-24,32
2018-10-25,32
2018-10-26,33
2018-10-27,28
2018-10-28,26
2018-10-29,36
2018-10-30,33
2018-10-31,38
2018-11-01,33
2018-11-02,29
2018-11-03,29
2018-11-04,31
2018-11-05,32
2018-11-06,32
2018-11-07,28
2018-11-08,31
2018-11-09,29
2018-11-10,27
2018-11-11,26
2018-11-12,30
2018-11-13,29
2018-11-14,58
2018-11-15,63
2018-11-16,43
2018-11-17,37
2018-11-18,35
2018-11-19,60
2018-11-20,100
2018-11-21,82
2018-11-22,43
2018-11-23,49
2018-11-24,53
2018-11-25,89
2018-11-26,84
2018-11-27,75
2018-11-28,69
2018-11-29,56
2018-11-30,54
2018-12-01,39
2018-12-02,36
2018-12-03,53
2018-12-04,52
2018-12-05,47
2018-12-06,56
2018-12-07,80
2018-12-08,49
2018-12-09,43
2018-12-10,50
2018-12-11,49
2018-12-12,46
2018-12-13,53
2018-12-14,63
2018-12-15,48
2018-12-16,39
2018-12-17,56
2018-12-18,56
2018-12-19,55
2018-12-20,62
2018-12-21,52
2018-12-22,41
2018-12-23,40
2018-12-24,51
2018-12-25,48
2018-12-26,45
2018-12-27,43
2018-12-28,43
2018-12-29,37
2018-12-30,35
2018-12-31,37
2019-01-01,15
2019-01-02,17
2019-01-03,16
2019-01-04,16
2019-01-05,14
2019-01-06,15
2019-01-07,16
2019-01-08,15
2019-01-09,14
2019-01-10,19
2019-01-11,15
2019-01-12,15
2019-01-13,14
2019-01-14,15
2019-01-15,14
2019-01-16,15
2019-01-17,13
2019-01-18,13
2019-01-19,12
2019-01-20,12
2019-01-21,13
2019-01-22,12
2019-01-23,14
2019-01-24,13
2019-01-25,14
2019-01-26,12
2019-01-27,12
2019-01-28,14
2019-01-29,14
2019-01-30,13
2019-01-31,12
2019-02-01,12
2019-02-02,12
2019-02-03,13
2019-02-04,13
2019-02-05,15
2019-02-06,15
2019-02-07,13
2019-02-08,15
2019-02-09,14
2019-02-10,14
2019-02-11,12
2019-02-12,13
2019-02-13,13
2019-02-14,12
2019-02-15,13
2019-02-16,12
2019-02-17,11
2019-02-18,14
2019-02-19,16
2019-02-20,15
2019-02-21,14
2019-02-22,13
2019-02-23,15
2019-02-24,18
2019-02-25,15
2019-02-26,13
2019-02-27,13
2019-02-28,13
2019-03-01,12
2019-03-02,12
2019-03-03,11
2019-03-04,13
2019-03-05,13
2019-03-06,13
2019-03-07,13
2019-03-08,13
2019-03-09,13
2019-03-10,12
2019-03-11,12
2019-03-12,12
2019-03-13,12
2019-03-14,12
2019-03-15,11
2019-03-16,13
2019-03-17,12
2019-03-18,13
2019-03-19,14
2019-03-20,14
2019-03-21,13
2019-03-22,14
2019-03-23,12
2019-03-24,11
2019-03-25,12
2019-03-26,12
2019-03-27,13
2019-03-28,12
2019-03-29,14
2019-03-30,12
2019-03-31,11
2019-04-01,14
2019-04-02,37
2019-04-03,37
2019-04-04,26
2019-04-05,19
2019-04-06,18
2019-04-07,18
2019-04-08,21
2019-04-09,18
2019-04-10,20
2019-04-11,19
2019-04-12,16
2019-04-13,15
2019-04-14,15
2019-04-15,16
2019-04-16,16
2019-04-17,17
2019-04-18,16
2019-04-19,16
2019-04-20,16
2019-04-21,16
2019-04-22,16
2019-04-23,21
2019-04-24,18
2019-04-25,16
2019-04-26,17
2019-04-27,14
2019-04-28,15
2019-04-29,14
2019-04-30,14
2019-05-01,13
2019-05-02,14
2019-05-03,19
2019-05-04,17
2019-05-05,19
2019-05-06,15
2019-05-07,21
2019-05-08,20
2019-05-09,23
2019-05-10,26
2019-05-11,37
2019-05-12,40
2019-05-13,48
2019-05-14,50
2019-05-15,41
2019-05-16,37
2019-05-17,38
2019-05-18,26
2019-05-19,34
2019-05-20,34
2019-05-21,30
2019-05-22,27
2019-05-23,26
2019-05-24,26
2019-05-25,20
2019-05-26,23
2019-05-27,37
2019-05-28,31
2019-05-29,31
2019-05-30,31
2019-05-31,29
2019-06-01,24
2019-06-02,23
2019-06-03,25
2019-06-04,30
2019-06-05,22
2019-06-06,20
2019-06-07,22
2019-06-08,17
2019-06-09,17
2019-06-10,20
2019-06-11,18
2019-06-12,19
2019-06-13,21
2019-06-14,21
2019-06-15,23
2019-06-16,31
2019-06-17,32
2019-06-18,33
2019-06-19,31
2019-06-20,30
2019-06-21,40
2019-06-22,66
2019-06-23,44
2019-06-24,46
2019-06-25,49
2019-06-26,100
2019-06-27,79
2019-06-28,55
2019-06-29,39
2019-06-30,36
2019-07-01,9
2019-07-02,9
2019-07-03,9
2019-07-04,7
2019-07-05,7
2019-07-06,6
2019-07-07,5
2019-07-08,7
2019-07-09,9
2019-07-10,9
2019-07-11,8
2019-07-12,8
2019-07-13,6
2019-07-14,7
2019-07-15,9
2019-07-16,9
2019-07-17,8
2019-07-18,8
2019-07-19,6
2019-07-20,5
2019-07-21,5
2019-07-22,5
2019-07-23,6
2019-07-24,6
2019-07-25,5
2019-07-26,5
2019-07-27,6
2019-07-28,5
2019-07-29,5
2019-07-30,5
2019-07-31,5
2019-08-01,5
2019-08-02,5
2019-08-03,5
2019-08-04,4
2019-08-05,8
2019-08-06,8
2019-08-07,6
2019-08-08,6
2019-08-09,5
2019-08-10,5
2019-08-11,4
2019-08-12,5
2019-08-13,5
2019-08-14,6
2019-08-15,7
2019-08-16,5
2019-08-17,4
2019-08-18,4
2019-08-19,4
2019-08-20,4
2019-08-21,5
2019-08-22,4
2019-08-23,4
2019-08-24,4
2019-08-25,4
2019-08-26,4
2019-08-27,4
2019-08-28,5
2019-08-29,5
2019-08-30,60
2019-08-31,100
2019-09-01,93
2019-09-02,71
2019-09-03,61
2019-09-04,70
2019-09-05,78
2019-09-06,66
2019-09-07,46
2019-09-08,45
2019-09-09,42
2019-09-10,40
2019-09-11,42
2019-09-12,42
2019-09-13,39
2019-09-14,45
2019-09-15,45
2019-09-16,39
2019-09-17,41
2019-09-18,37
2019-09-19,37
2019-09-20,31
2019-09-21,35
2019-09-22,31
2019-09-23,29
2019-09-24,24
2019-09-25,21
2019-09-26,18
2019-09-27,7
2019-09-28,4
2019-09-29,4
2019-09-30,4
2019-10-01,4
2019-10-02,4
2019-10-03,4
2019-10-04,4
2019-10-05,4
2019-10-06,3
2019-10-07,4
2019-10-08,4
2019-10-09,4
2019-10-10,4
2019-10-11,4
2019-10-12,3
2019-10-13,3
2019-10-14,3
2019-10-15,3
2019-10-16,4
2019-10-17,3
2019-10-18,3
2019-10-19,3
2019-10-20,4
2019-10-21,3
2019-10-22,3
2019-10-23,5
2019-10-24,4
2019-10-25,5
2019-10-26,8
2019-10-27,4
2019-10-28,5
2019-10-29,4
2019-10-30,4
2019-10-31,4
2019-11-01,3
2019-11-02,3
2019-11-03,3
2019-11-04,4
2019-11-05,4
2019-11-06,3
2019-11-07,3
2019-11-08,4
2019-11-09,3
2019-11-10,3
2019-11-11,3
2019-11-12,3
2019-11-13,3
2019-11-14,3
2019-11-15,3
2019-11-16,3
2019-11-17,3
2019-11-18,3
2019-11-19,4
2019-11-20,3
2019-11-21,4
2019-11-22,5
2019-11-23,4
2019-11-24,4
2019-11-25,5
2019-11-26,4
2019-11-27,4
2019-11-28,4
2019-11-29,3
2019-11-30,3
2019-12-01,3
2019-12-02,3
2019-12-03,3
2019-12-04,3
2019-12-05,3
2019-12-06,3
2019-12-07,3
2019-12-08,3
2019-12-09,3
2019-12-10,3
2019-12-11,3
2019-12-12,3
2019-12-13,3
2019-12-14,3
2019-12-15,3
2019-12-16,3
2019-12-17,4
2019-12-18,4
2019-12-19,4
2019-12-20,4
2019-12-21,3
2019-12-22,3
2019-12-23,3
2019-12-24,3
2019-12-25,3
2019-12-26,3
2019-12-27,3
2019-12-28,4
2019-12-29,3
2019-12-30,3
2019-12-31,3
2020-01-01,20
2020-01-02,23
2020-01-03,25
2020-01-04,24
2020-01-05,22
2020-01-06,23
2020-01-07,30
2020-01-08,36
2020-01-09,23
2020-01-10,25
2020-01-11,24
2020-01-12,21
2020-01-13,20
2020-01-14,35
2020-01-15,35
2020-01-16,25
2020-01-17,26
2020-01-18,27
2020-01-19,27
2020-01-20,24
2020-01-21,23
2020-01-22,22
2020-01-23,23
2020-01-24,21
2020-01-25,23
2020-01-26,19
2020-01-27,23
2020-01-28,27
2020-01-29,30
2020-01-30,28
2020-01-31,27
2020-02-01,26
2020-02-02,25
2020-02-03,24
2020-02-04,27
2020-02-05,30
2020-02-06,31
2020-02-07,27
2020-02-08,26
2020-02-09,39
2020-02-10,31
2020-02-11,34
2020-02-12,37
2020-02-13,33
2020-02-14,28
2020-02-15,28
2020-02-16,29
2020-02-17,28
2020-02-18,29
2020-02-19,32
2020-02-20,31
2020-02-21,26
2020-02-22,24
2020-02-23,26
2020-02-24,30
2020-02-25,29
2020-02-26,33
2020-02-27,34
2020-02-28,35
2020-02-29,26
2020-03-01,24
2020-03-02,24
2020-03-03,24
2020-03-04,24
2020-03-05,23
2020-03-06,24
2020-03-07,22
2020-03-08,25
2020-03-09,49
2020-03-10,34
2020-03-11,28
2020-03-12,66
2020-03-13,100
2020-03-14,56
2020-03-15,43
2020-03-16,63
2020-03-17,49
2020-03-18,50
2020-03-19,51
2020-03-20,46
2020-03-21,39
2020-03-22,37
2020-03-23,38
2020-03-24,44
2020-03-25,37
2020-03-26,34
2020-03-27,31
2020-03-28,29
2020-03-29,26
2020-03-30,31
2020-03-31,25
2020-04-01,28
2020-04-02,33
2020-04-03,30
2020-04-04,28
2020-04-05,27
2020-04-06,34
2020-04-07,33
2020-04-08,30
2020-04-09,29
2020-04-10,33
2020-04-11,26
2020-04-12,29
2020-04-13,32
2020-04-14,28
2020-04-15,30
2020-04-16,32
2020-04-17,27
2020-04-18,26
2020-04-19,26
2020-04-20,27
2020-04-21,28
2020-04-22,27
2020-04-23,33
2020-04-24,18
2020-04-25,26
2020-04-26,31
2020-04-27,34
2020-04-28,34
2020-04-29,49
2020-04-30,56
2020-05-01,42
2020-05-02,40
2020-05-03,39
2020-05-04,38
2020-05-05,36
2020-05-06,42
2020-05-07,53
2020-05-08,62
2020-05-09,51
2020-05-10,72
2020-05-11,84
2020-05-12,60
2020-05-13,45
2020-05-14,46
2020-05-15,41
2020-05-16,37
2020-05-17,38
2020-05-18,39
2020-05-19,35
2020-05-20,37
2020-05-21,39
2020-05-22,34
2020-05-23,30
2020-05-24,29
2020-05-25,33
2020-05-26,31
2020-05-27,30
2020-05-28,33
2020-05-29,31
2020-05-30,25
2020-05-31,26
2020-06-01,29
2020-06-02,45
2020-06-03,33
2020-06-04,32
2020-06-05,32
2020-06-06,27
2020-06-07,27
2020-06-08,27
2020-06-09,29
2020-06-10,28
2020-06-11,33
2020-06-12,29
2020-06-13,24
2020-06-14,24
2020-06-15,28
2020-06-16,25
2020-06-17,26
2020-06-18,25
2020-06-19,24
2020-06-20,25
2020-06-21,22
2020-06-22,24
2020-06-23,27
2020-06-24,23
2020-06-25,24
2020-06-26,24
2020-06-27,23
2020-06-28,24
2020-06-29,24
2020-06-30,24
2020-07-01,15
2020-07-02,14
2020-07-03,15
2020-07-04,14
2020-07-05,15
2020-07-06,11
2020-07-07,9
2020-07-08,16
2020-07-09,16
2020-07-10,15
2020-07-11,15
2020-07-12,13
2020-07-13,15
2020-07-14,17
2020-07-15,23
2020-07-16,24
2020-07-17,18
2020-07-18,15
2020-07-19,14
2020-07-20,15
2020-07-21,15
2020-07-22,15
2020-07-23,18
2020-07-24,17
2020-07-25,17
2020-07-26,20
2020-07-27,37
2020-07-28,36
2020-07-29,28
2020-07-30,24
2020-07-31,26
2020-08-01,30
2020-08-02,36
2020-08-03,27
2020-08-04,24
2020-08-05,26
2020-08-06,26
2020-08-07,24
2020-08-08,20
2020-08-09,19
2020-08-10,25
2020-08-11,24
2020-08-12,20
2020-08-13,23
2020-08-14,23
2020-08-15,20
2020-08-16,21
2020-08-17,27
2020-08-18,25
2020-08-19,22
2020-08-20,19
2020-08-21,17
2020-08-22,17
2020-08-23,15
2020-08-24,17
2020-08-25,17
2020-08-26,16
2020-08-27,16
2020-08-28,17
2020-08-29,14
2020-08-30,15
2020-08-31,15
2020-09-01,18
2020-09-02,19
2020-09-03,21
2020-09-04,21
2020-09-05,18
2020-09-06,17
2020-09-07,17
2020-09-08,19
2020-09-09,16
2020-09-10,15
2020-09-11,13
2020-09-12,13
2020-09-13,14
2020-09-14,13
2020-09-15,15
2020-09-16,15
2020-09-17,14
2020-09-18,14
2020-09-19,14
2020-09-20,13
2020-09-21,15
2020-09-22,13
2020-09-23,13
2020-09-24,12
2020-09-25,13
2020-09-26,13
2020-09-27,12
2020-09-28,12
2020-09-29,13
2020-09-30,12
2020-10-01,13
2020-10-02,13
2020-10-03,13
2020-10-04,12
2020-10-05,13
2020-10-06,13
2020-10-07,12
2020-10-08,14
2020-10-09,15
2020-10-10,15
2020-10-11,14
2020-10-12,15
2020-10-13,14
2020-10-14,14
2020-10-15,15
2020-10-16,15
2020-10-17,13
2020-10-18,14
2020-10-19,16
2020-10-20,16
2020-10-21,32
2020-10-22,32
2020-10-23,25
2020-10-24,19
2020-10-25,19
2020-10-26,21
2020-10-27,28
2020-10-28,28
2020-10-29,23
2020-10-30,20
2020-10-31,22
2020-11-01,21
2020-11-02,22
2020-11-03,21
2020-11-04,16
2020-11-05,30
2020-11-06,33
2020-11-07,26
2020-11-08,21
2020-11-09,27
2020-11-10,23
2020-11-11,24
2020-11-12,27
2020-11-13,31
2020-11-14,25
2020-11-15,21
2020-11-16,32
2020-11-17,48
2020-11-18,54
2020-11-19,42
2020-11-20,45
2020-11-21,45
2020-11-22,37
2020-11-23,41
2020-11-24,52
2020-11-25,46
2020-11-26,56
2020-11-27,44
2020-11-28,36
2020-11-29,34
2020-11-30,50
2020-12-01,55
2020-12-02,40
2020-12-03,38
2020-12-04,39
2020-12-05,32
2020-12-06,30
2020-12-07,33
2020-12-08,33
2020-12-09,34
2020-12-10,30
2020-12-11,30
2020-12-12,24
2020-12-13,28
2020-12-14,29
2020-12-15,32
2020-12-16,63
2020-12-17,100
2020-12-18,71
2020-12-19,54
2020-12-20,51
2020-12-21,58
2020-12-22,50
2020-12-23,46
2020-12-24,40
2020-12-25,45
2020-12-26,64
2020-12-27,83
2020-12-28,70
2020-12-29,65
2020-12-30,72
2020-12-31,76
2021-01-01,29
2021-01-02,57
2021-01-03,60
2021-01-04,52
2021-01-05,43
2021-01-06,48
2021-01-07,74
2021-01-08,69
2021-01-09,57
2021-01-10,54
2021-01-11,90
2021-01-12,61
2021-01-13,54
2021-01-14,56
2021-01-15,46
2021-01-16,40
2021-01-17,34
2021-01-18,33
2021-01-19,30
2021-01-20,32
2021-01-21,42
2021-01-22,44
2021-01-23,29
2021-01-24,25
2021-01-25,29
2021-01-26,28
2021-01-27,30
2021-01-28,34
2021-01-29,57
2021-01-30,36
2021-01-31,30
2021-02-01,29
2021-02-02,28
2021-02-03,28
2021-02-04,32
2021-02-05,28
2021-02-06,35
2021-02-07,31
2021-02-08,70
2021-02-09,78
2021-02-10,53
2021-02-11,48
2021-02-12,45
2021-02-13,38
2021-02-14,39
2021-02-15,43
2021-02-16,47
2021-02-17,53
2021-02-18,48
2021-02-19,56
2021-02-20,59
2021-02-21,51
2021-02-22,58
2021-02-23,74
2021-02-24,53
2021-02-25,45
2021-02-26,44
2021-02-27,34
2021-02-28,45
2021-03-01,41
2021-03-02,35
2021-03-03,34
2021-03-04,32
2021-03-05,32
2021-03-06,27
2021-03-07,28
2021-03-08,32
2021-03-09,38
2021-03-10,37
2021-03-11,34
2021-03-12,33
2021-03-13,41
2021-03-14,40
2021-03-15,37
2021-03-16,34
2021-03-17,33
2021-03-18,34
2021-03-19,30
2021-03-20,27
2021-03-21,24
2021-03-22,29
2021-03-23,29
2021-03-24,33
2021-03-25,37
2021-03-26,29
2021-03-27,27
2021-03-28,24
2021-03-29,30
2021-03-30,29
2021-03-31,29
2021-04-01,41
2021-04-02,29
